step,tr_loss,tr_acc,val_loss,val_acc
7100,1.034309,0.6935,1.068507,0.6891
7120,1.027817,0.6963,1.066477,0.6845
7140,1.026214,0.6963,1.066786,0.6835
7160,1.024984,0.6967,1.065377,0.6863
7180,1.020554,0.6986,1.063333,0.6872
7200,1.017890,0.6994,1.064476,0.6808
7220,1.018880,0.6986,1.065620,0.6799
7240,1.015408,0.7003,1.065552,0.6799
7260,1.015970,0.6999,1.064793,0.6817
7280,1.011342,0.7021,1.065693,0.6845
7300,1.008337,0.7035,1.063986,0.6863
7320,1.009552,0.7025,1.062127,0.6872
7340,1.009489,0.7024,1.061190,0.6872
7360,1.069546,0.6700,1.067215,0.6835
7380,0.997149,0.7033,1.065715,0.6817
7400,0.996315,0.6970,1.063119,0.6835
7420,0.994969,0.7007,1.062457,0.6780
7440,0.987987,0.7006,1.059974,0.6799
7460,0.997672,0.6982,1.057533,0.6835
7480,0.992968,0.7012,1.056473,0.6826
7500,0.993012,0.7027,1.057597,0.6854
7520,0.995926,0.7032,1.057427,0.6845
7540,1.002597,0.7018,1.055632,0.6854
7560,0.994138,0.7048,1.057258,0.6854
7580,0.993386,0.7041,1.058947,0.6872
7600,0.987545,0.7074,1.062070,0.6799
7620,0.988268,0.7074,1.060087,0.6789
7640,0.991241,0.7059,1.055755,0.6854
7660,0.987643,0.7081,1.057394,0.6872
7680,0.992163,0.7061,1.056681,0.6835
7700,0.990764,0.7067,1.057226,0.6835
7720,0.995381,0.7054,1.054959,0.6881
7740,0.998758,0.7044,1.054279,0.6863
7760,0.996444,0.7057,1.052293,0.6854
7780,0.994689,0.7058,1.053858,0.6872
7800,0.994989,0.7049,1.057423,0.6872
7820,0.997337,0.7040,1.054102,0.6872
7840,0.995769,0.7039,1.052871,0.6854
7860,1.052958,0.7025,1.053359,0.6799
7880,1.026851,0.7050,1.049873,0.6863
7900,1.032130,0.7025,1.051175,0.6845
7920,1.039367,0.6969,1.047631,0.6881
